,연,월,일,시간대,요일,기온,강수량,풍속,습도,적설량,미세먼지,초미세먼지,공휴일,통화건수
0,2016,10,01,0,토,19.4,0.0,0.8,73.0,0.0,48.0,26.0,0,67.0
1,2016,10,01,1,토,18.8,0.0,1.3,77.0,0.0,48.0,26.0,0,27.0
2,2016,10,01,10,토,20.7,0.0,1.8,72.0,0.0,48.0,26.0,0,10.0
3,2016,10,01,11,토,21.6,0.0,0.6,65.0,0.0,48.0,26.0,0,28.0
4,2016,10,01,12,토,24.0,0.0,1.5,55.0,0.0,48.0,26.0,0,64.0
5,2016,10,01,13,토,24.5,0.0,1.9,57.0,0.0,48.0,26.0,0,56.0
6,2016,10,01,14,토,25.0,0.0,1.0,55.0,0.0,48.0,26.0,0,47.0
7,2016,10,01,15,토,24.8,0.0,1.1,53.0,0.0,48.0,26.0,0,68.0
8,2016,10,01,16,토,25.5,0.0,1.0,49.0,0.0,48.0,26.0,0,78.0
9,2016,10,01,17,토,24.6,0.0,2.0,56.0,0.0,48.0,26.0,0,129.0
10,2016,10,01,18,토,23.6,0.0,2.2,59.0,0.0,48.0,26.0,0,205.0
11,2016,10,01,19,토,22.7,0.0,1.1,59.0,0.0,48.0,26.0,0,194.0
12,2016,10,01,2,토,18.5,0.0,0.4,78.0,0.0,48.0,26.0,0,16.0
13,2016,10,01,20,토,22.1,0.0,0.8,66.0,0.0,48.0,26.0,0,133.0
14,2016,10,01,21,토,21.5,0.0,0.5,70.0,0.0,48.0,26.0,0,142.0
15,2016,10,01,22,토,21.0,0.0,0.9,74.0,0.0,48.0,26.0,0,164.0
16,2016,10,01,23,토,20.4,0.0,0.8,78.0,0.0,48.0,26.0,0,106.0
17,2016,10,01,3,토,18.3,0.0,0.4,79.0,0.0,48.0,26.0,0,10.0
18,2016,10,01,4,토,18.1,0.0,1.3,81.0,0.0,48.0,26.0,0,18.0
19,2016,10,01,5,토,17.8,0.0,0.7,83.0,0.0,48.0,26.0,0,5.0
20,2016,10,01,6,토,17.6,0.0,1.9,85.0,0.0,48.0,26.0,0,0.0
21,2016,10,01,7,토,17.5,0.0,1.7,86.0,0.0,48.0,26.0,0,0.0
22,2016,10,01,8,토,17.9,0.0,1.1,82.0,0.0,48.0,26.0,0,0.0
23,2016,10,01,9,토,19.4,0.0,1.1,74.0,0.0,48.0,26.0,0,0.0
24,2016,10,02,0,일,19.9,0.0,1.3,77.0,0.0,30.0,16.0,0,56.0
