,일자,요일,공휴일,기온,강수량,풍속,습도,적설량,통화건수
0,20181001,월,0.0,15.4,0.0,2.9,55.1,0.0,9681
1,20181002,화,0.0,15.9,0.0,1.6,61.4,0.0,13692
2,20181003,수,1.0,17.3,0.0,1.3,58.0,0.0,15403
3,20181004,목,0.0,19.3,0.0,1.3,56.5,0.0,10091
4,20181005,금,0.0,16.9,36.5,1.7,84.1,0.0,17680
5,20181006,토,0.0,18.0,55.5,2.2,84.0,0.0,17881
6,20181007,일,0.0,16.4,0.0,1.7,53.5,0.0,15668
7,20181008,월,0.0,14.8,0.0,1.1,47.0,0.0,12421
8,20181009,화,1.0,15.3,0.0,1.1,52.5,0.0,14696
9,20181010,수,0.0,12.0,7.0,2.5,61.0,0.0,10414
10,20181011,목,0.0,9.7,0.0,2.1,51.0,0.0,10969
11,20181012,금,0.0,10.9,0.0,1.3,54.0,0.0,16824
12,20181013,토,0.0,12.5,0.0,1.0,54.0,0.0,16742
13,20181014,일,0.0,13.2,0.0,1.5,60.0,0.0,15231
14,20181015,월,0.0,15.2,0.0,1.4,69.9,0.0,9428
15,20181016,화,0.0,14.5,0.0,1.3,55.9,0.0,11664
16,20181017,수,0.0,12.4,0.0,1.3,53.3,0.0,10888
17,20181018,목,0.0,12.7,0.0,1.1,59.5,0.0,11197
18,20181019,금,0.0,13.1,0.0,1.4,54.3,0.0,15590
19,20181020,토,0.0,13.4,0.0,1.2,53.9,0.0,16790
20,20181021,일,0.0,13.4,0.0,1.1,49.5,0.0,14988
21,20181022,월,0.0,14.0,0.0,1.0,50.0,0.0,9526
22,20181023,화,0.0,12.2,5.0,1.1,75.1,0.0,10514
23,20181024,수,0.0,12.5,0.0,1.3,66.0,0.0,10652
24,20181025,목,0.0,13.8,0.0,0.9,55.5,0.0,11279
25,20181026,금,0.0,12.2,11.0,1.6,74.1,0.0,15825
26,20181027,토,0.0,8.7,0.0,3.2,49.6,0.0,16785
27,20181028,일,0.0,8.3,5.5,1.5,77.1,0.0,15925
28,20181029,월,0.0,7.2,0.0,2.0,57.3,0.0,9096
29,20181030,화,0.0,6.1,0.0,1.6,51.3,0.0,10327
30,20181031,수,0.0,7.4,0.0,1.6,55.4,0.0,11618
31,20181101,목,0.0,8.4,0.0,1.3,53.4,0.0,10979
32,20181102,금,0.0,10.6,0.0,1.1,54.9,0.0,14804
33,20181103,토,0.0,11.2,0.0,1.3,56.0,0.0,16036
34,20181104,일,0.0,11.6,0.0,1.3,55.0,0.0,14078
35,20181105,월,0.0,11.9,0.0,1.1,65.5,0.0,9291
36,20181106,화,0.0,12.2,0.0,0.9,70.5,0.0,9774
37,20181107,수,0.0,12.8,2.0,1.1,79.5,0.0,11264
38,20181108,목,0.0,11.8,64.0,1.8,93.8,0.0,12921
39,20181109,금,0.0,12.1,1.0,3.1,69.0,0.0,15240
40,20181110,토,0.0,11.9,0.0,1.4,69.1,0.0,15338
41,20181111,일,0.0,8.1,0.0,1.1,67.6,0.0,14452
42,20181112,월,0.0,8.1,0.0,1.2,52.3,0.0,9115
43,20181113,화,0.0,8.8,0.0,1.1,51.6,0.0,9811
44,20181114,수,0.0,9.8,0.0,1.1,55.5,0.0,10830
45,20181115,목,0.0,9.7,0.0,1.0,55.4,0.0,12709
46,20181116,금,0.0,8.8,0.0,1.7,65.1,0.0,14951
47,20181117,토,0.0,4.9,0.0,1.4,50.8,0.0,16059
48,20181118,일,0.0,6.1,0.0,1.1,48.8,0.0,13807
49,20181119,월,0.0,6.5,0.0,1.4,50.4,0.0,9065
50,20181120,화,0.0,6.5,0.2,1.8,39.9,0.0,10276
51,20181121,수,0.0,5.8,1.0,1.2,57.1,0.0,10617
52,20181122,목,0.0,2.3,0.0,2.4,35.0,0.0,10874
