,일자,시간대,기온,강수량,풍속,풍향,습도,적설
0,20181001,0,14.1,0.0,2.6,270.0,55.0,0.0
1,20181001,1,13.9,0.0,2.0,270.0,57.0,0.0
2,20181001,2,13.9,0.0,2.4,270.0,56.0,0.0
3,20181001,3,13.6,0.0,1.6,230.0,56.0,0.0
4,20181001,4,13.7,0.0,1.9,270.0,56.0,0.0
5,20181001,5,13.7,0.0,1.8,250.0,57.0,0.0
6,20181001,6,13.3,0.0,2.3,270.0,56.0,0.0
7,20181001,7,13.1,0.0,2.1,250.0,58.0,0.0
8,20181001,8,13.7,0.0,2.4,270.0,54.0,0.0
9,20181001,9,14.9,0.0,3.4,320.0,50.0,0.0
10,20181001,10,16.3,0.0,3.6,270.0,47.0,0.0
11,20181001,11,17.0,0.0,4.5,320.0,45.0,0.0
12,20181001,12,18.4,0.0,3.5,270.0,40.0,0.0
13,20181001,13,17.6,0.0,4.7,320.0,49.0,0.0
14,20181001,14,19.3,0.0,3.5,250.0,36.0,0.0
15,20181001,15,19.0,0.0,3.8,250.0,40.0,0.0
16,20181001,16,17.7,0.0,3.4,270.0,47.0,0.0
17,20181001,17,17.2,0.0,2.9,270.0,53.0,0.0
18,20181001,18,16.6,0.0,2.9,270.0,61.0,0.0
19,20181001,19,16.2,0.0,2.2,290.0,62.0,0.0
20,20181001,20,15.4,0.0,2.1,290.0,63.0,0.0
21,20181001,21,14.6,0.0,4.0,340.0,66.0,0.0
22,20181001,22,13.9,0.0,0.5,290.0,69.0,0.0
23,20181001,23,13.4,0.0,3.7,340.0,69.0,0.0
24,20181002,0,13.0,0.0,1.8,290.0,72.0,0.0
25,20181002,1,12.5,0.0,1.9,290.0,74.0,0.0
26,20181002,2,12.3,0.0,1.6,290.0,75.0,0.0
27,20181002,3,11.8,0.0,0.3,0.0,78.0,0.0
28,20181002,4,11.2,0.0,0.3,0.0,80.0,0.0
29,20181002,5,10.8,0.0,0.3,0.0,82.0,0.0
30,20181002,6,10.6,0.0,0.0,0.0,81.0,0.0
31,20181002,7,10.4,0.0,0.3,0.0,81.0,0.0
32,20181002,8,11.2,0.0,0.9,20.0,69.0,0.0
33,20181002,9,13.9,0.0,1.6,200.0,66.0,0.0
34,20181002,10,16.7,0.0,2.4,180.0,58.0,0.0
35,20181002,11,18.3,0.0,3.0,290.0,44.0,0.0
36,20181002,12,19.4,0.0,3.1,290.0,41.0,0.0
37,20181002,13,20.4,0.0,2.6,270.0,36.0,0.0
38,20181002,14,21.5,0.0,2.5,180.0,39.0,0.0
39,20181002,15,21.8,0.0,2.6,270.0,38.0,0.0
40,20181002,16,21.7,0.0,3.2,270.0,36.0,0.0
41,20181002,17,21.2,0.0,2.4,270.0,40.0,0.0
42,20181002,18,19.2,0.0,2.2,270.0,48.0,0.0
43,20181002,19,17.6,0.0,1.7,290.0,57.0,0.0
44,20181002,20,16.8,0.0,2.0,290.0,62.0,0.0
45,20181002,21,16.2,0.0,1.5,290.0,65.0,0.0
46,20181002,22,15.5,0.0,0.8,270.0,69.0,0.0
47,20181002,23,14.8,0.0,0.1,0.0,68.0,0.0
48,20181003,0,14.5,0.0,0.4,0.0,74.0,0.0
49,20181003,1,13.8,0.0,0.5,20.0,75.0,0.0
50,20181003,2,13.2,0.0,1.2,50.0,77.0,0.0
51,20181003,3,12.6,0.0,0.6,50.0,78.0,0.0
52,20181003,4,12.1,0.0,1.2,50.0,80.0,0.0
53,20181003,5,11.8,0.0,1.1,20.0,82.0,0.0
54,20181003,6,11.4,0.0,0.3,0.0,84.0,0.0
55,20181003,7,11.2,0.0,0.3,0.0,85.0,0.0
56,20181003,8,11.8,0.0,1.0,20.0,73.0,0.0
57,20181003,9,14.4,0.0,0.7,90.0,61.0,0.0
58,20181003,10,17.3,0.0,0.7,290.0,53.0,0.0
59,20181003,11,20.3,0.0,1.6,180.0,46.0,0.0
60,20181003,12,21.4,0.0,1.4,340.0,40.0,0.0
61,20181003,13,22.5,0.0,2.6,290.0,40.0,0.0
62,20181003,14,23.4,0.0,1.6,340.0,35.0,0.0
63,20181003,15,24.1,0.0,2.0,270.0,34.0,0.0
64,20181003,16,24.0,0.0,2.7,290.0,34.0,0.0
65,20181003,17,23.3,0.0,1.7,320.0,36.0,0.0
66,20181003,18,21.5,0.0,1.8,340.0,43.0,0.0
67,20181003,19,20.0,0.0,1.5,340.0,49.0,0.0
68,20181003,20,18.6,0.0,1.5,290.0,55.0,0.0
69,20181003,21,17.6,0.0,1.6,290.0,59.0,0.0
70,20181003,22,16.9,0.0,0.2,0.0,63.0,0.0
71,20181003,23,16.1,0.0,0.6,360.0,63.0,0.0
